WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.7529479 -43.8905470167),145028,1780705,33417,"26 Middle Road, Allenton, Ashburton",26,26,,Middle Road,Allenton,Ashburton District,Middle Road,"26 Middle Road, Allenton, Ashburton",Allenton,171.7529479,-43.8905470167
POINT (171.7487964 -43.8866852),145294,1780705,37160,"84 Middle Road, Allenton, Ashburton",84,84,,Middle Road,Allenton,Ashburton District,Middle Road,"84 Middle Road, Allenton, Ashburton",Allenton,171.7487964,-43.8866852
POINT (171.7534827 -43.8920309333),145337,1780705,33417,"9 Middle Road, Allenton, Ashburton",9,9,,Middle Road,Allenton,Ashburton District,Middle Road,"9 Middle Road, Allenton, Ashburton",Allenton,171.75348269999998,-43.8920309333
POINT (171.7540755 -43.9042201667),145408,3052808,33071,"123 Victoria Street, Ashburton",123,123,,Victoria Street,Ashburton,Ashburton District,Victoria Street,"123 Victoria Street, Ashburton",Ashburton,171.7540755,-43.9042201667
POINT (171.7527061333 -43.9049622833),145497,3015368,29240,"251 Cameron Street, Ashburton",251,251,,Cameron Street,Ashburton,Ashburton District,Cameron Street,"251 Cameron Street, Ashburton",Ashburton,171.752706133,-43.9049622833
POINT (171.7547650833 -43.9022099),145527,3045786,31360,"30 Cox Street, Ashburton",30,30,,Cox Street,Ashburton,Ashburton District,Cox Street,"30 Cox Street, Ashburton",Ashburton,171.754765083,-43.902209899999995
POINT (171.7544787 -43.8952114),145541,1780768,46584,"33 Queens Drive, Allenton, Ashburton",33,33,,Queens Drive,Allenton,Ashburton District,Queens Drive,"33 Queens Drive, Allenton, Ashburton",Allenton,171.75447869999996,-43.8952114
POINT (171.7470838 -43.9014062833),145649,3036714,35678,"86 Park Street, Ashburton",86,86,,Park Street,Ashburton,Ashburton District,Park Street,"86 Park Street, Ashburton",Ashburton,171.7470838,-43.9014062833
POINT (171.7533391833 -43.9147976667),145881,1780687,30390,"22 Suffolk Street, Hampstead, Ashburton",22,22,,Suffolk Street,Hampstead,Ashburton District,Suffolk Street,"22 Suffolk Street, Hampstead, Ashburton",Hampstead,171.75333918299998,-43.914797666700004
POINT (171.7509240167 -43.9072914667),146114,3005448,49491,"348 Burnett Street, Ashburton",348,348,,Burnett Street,Ashburton,Ashburton District,Burnett Street,"348 Burnett Street, Ashburton",Ashburton,171.75092401700002,-43.9072914667
POINT (171.7506066833 -43.9113967167),146224,3064545,35334,"64 Chalmers Avenue, Hampstead, Ashburton",64,64,,Chalmers Avenue,Hampstead,Ashburton District,Chalmers Avenue,"64 Chalmers Avenue, Hampstead, Ashburton",Hampstead,171.750606683,-43.911396716700004
POINT (171.7478365333 -43.9155802),146298,1780696,314114,"12 Manse Street, Hampstead, Ashburton",12,12,,Manse Street,Hampstead,Ashburton District,Manse Street,"12 Manse Street, Hampstead, Ashburton",Hampstead,171.747836533,-43.9155802
POINT (171.7632276667 -43.8920069167),146819,1780826,45317,"6 Russell Avenue, Allenton, Ashburton",6,6,,Russell Avenue,Allenton,Ashburton District,Russell Avenue,"6 Russell Avenue, Allenton, Ashburton",Allenton,171.763227667,-43.8920069167
POINT (171.76376375 -43.8942385),146858,3001995,54200,"820 East Street, Netherby, Ashburton",820,820,,East Street,Netherby,Ashburton District,East Street,"820 East Street, Netherby, Ashburton",Netherby,171.76376375,-43.8942385
POINT (171.7639428833 -43.8941156333),146859,3001995,54200,"822 East Street, Netherby, Ashburton",822,822,,East Street,Netherby,Ashburton District,East Street,"822 East Street, Netherby, Ashburton",Netherby,171.763942883,-43.8941156333
POINT (171.7603965167 -43.8861297),146866,1780770,34811,"83 Racecourse Road, Allenton, Ashburton",83,83,,Racecourse Road,Allenton,Ashburton District,Racecourse Road,"83 Racecourse Road, Allenton, Ashburton",Allenton,171.760396517,-43.886129700000005
POINT (171.76187675 -43.89125695),146883,1780708,30903,"8 Hillier Place, Allenton, Ashburton",8,8,,Hillier Place,Allenton,Ashburton District,Hillier Place,"8 Hillier Place, Allenton, Ashburton",Allenton,171.76187675,-43.89125695
POINT (171.7600632333 -43.8893176333),146904,1780810,367366,"94 Creek Road, Allenton, Ashburton",94,94,,Creek Road,Allenton,Ashburton District,Creek Road,"94 Creek Road, Allenton, Ashburton",Allenton,171.76006323299998,-43.889317633299996
POINT (171.7607044333 -43.90411005),147001,3064545,32517,"135 Chalmers Avenue, Hampstead, Ashburton",135,135,,Chalmers Avenue,Hampstead,Ashburton District,Chalmers Avenue,"135 Chalmers Avenue, Hampstead, Ashburton",Hampstead,171.760704433,-43.90411005
POINT (171.7632818 -43.9009507),147356,1780797,45999,"54 Princes Street, Netherby, Ashburton",54,54,,Princes Street,Netherby,Ashburton District,Princes Street,"54 Princes Street, Netherby, Ashburton",Netherby,171.76328180000002,-43.9009507
