,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
63403,Marlborough,Marlborough,30-May-18,MbBC180712,83 Hampden Street Picton Marlborough,83 Hampden Street,Picton,,,,,"$6,100.00 ",free standing pyroclassic iv log fire
63406,Marlborough,Marlborough,30-May-18,MbBC180608,678 New Renwick Road Fairhall Marlborough,678 New Renwick Road,Fairhall,,,,,"$5,532.00 ",free-standing metro mega rad log fire  mayfield
63407,Marlborough,Marlborough,30-May-18,MbBC180678,34 Alabama Road Blenheim Marlborough,34 Alabama Road,Blenheim,,,,,"$5,373.00 ",inbuilt metro smart insert log fire with wetback
63408,Marlborough,Marlborough,30-May-18,MbBC180655,3576 SH 1 Riverlands Marlborough,3576 SH 1,Riverlands,,,,,"$5,200.00 ",free standing masport r5000 ped log fire
63409,Marlborough,Marlborough,30-May-18,MbBC180702,2038 Taylor Pass Road Awatere Valley Marlborough,2038 Taylor Pass Road,Awatere Valley,,,,,"$5,200.00 ",free-standing masport r5000 rural log fire
63410,Marlborough,Marlborough,30-May-18,MbBC180637,66 Maxwell Pass Road Taylor Pass Marlborough,66 Maxwell Pass Road,Taylor Pass,,,,,"$5,142.00 ",free standing masport r5000 rural log fire
63411,Marlborough,Marlborough,30-May-18,MbBC180669,8 Howick Road Blenheim Marlborough,8 Howick Road,Blenheim,,,,,"$5,128.00 ",inbuilt yunca xander - masonry log fire  mayfield
63412,Marlborough,Marlborough,30-May-18,MbBC180587,11 Hathaway Street Spring Creek Marlborough,11 Hathaway Street,Spring Creek,,,,,"$5,000.00 ",free standing yunca monte euro log fire
63414,Marlborough,Marlborough,30-May-18,MbBC180620,8 Owen Place Blenheim Marlborough,8 Owen Place,Blenheim,,,,,"$5,000.00 ",free-standing jayline fr300w log fire
63415,Marlborough,Marlborough,30-May-18,MbBC180717,377 Kaparu Road Blind River Marlborough,377 Kaparu Road,Blind River,,,,,"$5,000.00 ",free standing scandia cottage log fire
