WKT,id,rna_id,rcl_id,address,house_number,range_low,range_high,road_name,locality,territorial_authority,road_name_utf8,address_utf8,locality_utf8,shape_X,shape_Y
POINT (171.0454531333 -44.7367485),122439,1787408,40664,"29 John Street, Waimate",29,29,,John Street,Waimate,Waimate District,John Street,"29 John Street, Waimate",Waimate,171.045453133,-44.7367485
POINT (171.0522708667 -44.7357285833),122442,1783529,46499,"2 Studholme Street, Waimate",2,2,,Studholme Street,Waimate,Waimate District,Studholme Street,"2 Studholme Street, Waimate",Waimate,171.052270867,-44.7357285833
POINT (170.521154 -44.6283949167),947613,1782305,46823,"674 Milne Road, Hakataramea, Kurow",674,674,,Milne Road,Hakataramea,Waimate District,Milne Road,"674 Milne Road, Hakataramea, Kurow",Hakataramea,170.521154,-44.6283949167
POINT (170.8910702833 -44.7330345),947812,1782259,42530,"158 Kowhatu Road, Waihaorunga",158,158,,Kowhatu Road,Waihaorunga,Waimate District,Kowhatu Road,"158 Kowhatu Road, Waihaorunga",Waihaorunga,170.891070283,-44.733034499999995
POINT (170.979053 -44.804701),947837,1783557,320685,"38 Waikakahi Valley Road, Ikawai",38,38,,Waikakahi Valley Road,Ikawai,Waimate District,Waikakahi Valley Road,"38 Waikakahi Valley Road, Ikawai",Ikawai,170.979053,-44.804701
POINT (171.045681 -44.745416),947907,1785595,352887,"52 Waihao Back Road, Waimate",52,52,,Waihao Back Road,Waimate,Waimate District,Waihao Back Road,"52 Waihao Back Road, Waimate",Waimate,171.045681,-44.745416
POINT (171.0637057 -44.7811151333),947925,3055734,321039,"150 Wains Crossing Road, Waimate",150,150,,Wains Crossing Road,Waimate,Waimate District,Wains Crossing Road,"150 Wains Crossing Road, Waimate",Waimate,171.06370569999999,-44.7811151333
POINT (171.07008915 -44.7308037833),948123,1786585,34920,"68 Bathgates Road, Waimate",68,68,,Bathgates Road,Waimate,Waimate District,Bathgates Road,"68 Bathgates Road, Waimate",Waimate,171.07008915,-44.7308037833
POINT (171.135296 -44.682021),949371,1782232,32568,"12 Hook Station Road, Makikihi",12,12,,Hook Station Road,Makikihi,Waimate District,Hook Station Road,"12 Hook Station Road, Makikihi",Makikihi,171.13529599999998,-44.682021
POINT (171.0928890667 -44.5025515333),949571,3060432,39376,"921 Lyalldale Middle Road, Saint Andrews",921,921,,Lyalldale Middle Road,Saint Andrews,Waimate District,Lyalldale Middle Road,"921 Lyalldale Middle Road, Saint Andrews",Saint Andrews,171.09288906700002,-44.5025515333
POINT (170.922387 -44.380768),949731,1782321,321050,"23 Neales Road, Maungati",23,23,,Neales Road,Maungati,Waimate District,Neales Road,"23 Neales Road, Maungati",Maungati,170.92238700000001,-44.380767999999996
POINT (171.1296567833 -44.7044874833),950253,3052729,54661,"2458 Waimate Highway, Makikihi",2458,2458,,Waimate Highway,Makikihi,Waimate District,Waimate Highway,"2458 Waimate Highway, Makikihi",Makikihi,171.129656783,-44.7044874833
POINT (171.0371656833 -44.7411624333),1137220,3015409,360783,"234 Queen Street, Waimate",234,234,,Queen Street,Waimate,Waimate District,Queen Street,"234 Queen Street, Waimate",Waimate,171.03716568299998,-44.7411624333
POINT (171.0440671833 -44.7266020667),1433656,1782284,54163,"34 Maude Street, Waimate",34,34,,Maude Street,Waimate,Waimate District,Maude Street,"34 Maude Street, Waimate",Waimate,171.04406718299998,-44.7266020667
POINT (170.97190215 -44.38102345),1570599,1783550,50661,"75 Veritys Road, Maungati",75,75,,Veritys Road,Maungati,Waimate District,Veritys Road,"75 Veritys Road, Maungati",Maungati,170.97190215,-44.38102345
POINT (171.0846915333 -44.5655475),1578274,1783535,54584,"53 Tavistock Road, Otaio",53,53,,Tavistock Road,Otaio,Waimate District,Tavistock Road,"53 Tavistock Road, Otaio",Otaio,171.08469153299998,-44.5655475
POINT (171.0338971833 -44.73155225),120972,1787270,47617,"12 Andrew Street, Waimate",12,12,,Andrew Street,Waimate,Waimate District,Andrew Street,"12 Andrew Street, Waimate",Waimate,171.033897183,-44.73155225
POINT (171.0297264333 -44.72672125),120991,1786803,36030,"29 Allan Street, Waimate",29,29,,Allan Street,Waimate,Waimate District,Allan Street,"29 Allan Street, Waimate",Waimate,171.02972643299998,-44.72672125
POINT (171.03482885 -44.73215565),120992,1787270,47617,"2 Andrew Street, Waimate",2,2,,Andrew Street,Waimate,Waimate District,Andrew Street,"2 Andrew Street, Waimate",Waimate,171.03482885,-44.73215565
POINT (171.0539310333 -44.7293632167),122097,3068003,34940,"22 Timaru Road, Waimate",22,22,,Timaru Road,Waimate,Waimate District,Timaru Road,"22 Timaru Road, Waimate",Waimate,171.053931033,-44.7293632167
POINT (171.0492515167 -44.7318825333),122107,3015409,53441,"23 Queen Street, Waimate",23,23,,Queen Street,Waimate,Waimate District,Queen Street,"23 Queen Street, Waimate",Waimate,171.04925151700002,-44.7318825333
POINT (171.0486168667 -44.7323908833),122201,3015409,31542,"41 Queen Street, Waimate",41,41,,Queen Street,Waimate,Waimate District,Queen Street,"41 Queen Street, Waimate",Waimate,171.04861686700002,-44.7323908833
POINT (171.0512919833 -44.73480835),122241,1782127,37803,"57 High Street, Waimate",57,57,,High Street,Waimate,Waimate District,High Street,"57 High Street, Waimate",Waimate,171.051291983,-44.73480835
POINT (171.05259765 -44.7376036),122386,1782311,29693,"13 Moorhouse Street, Waimate",13,13,,Moorhouse Street,Waimate,Waimate District,Moorhouse Street,"13 Moorhouse Street, Waimate",Waimate,171.05259765,-44.7376036
POINT (171.0556316167 -44.7366693333),122597,1782127,54206,"34 High Street, Waimate",34,34,,High Street,Waimate,Waimate District,High Street,"34 High Street, Waimate",Waimate,171.05563161700002,-44.7366693333
POINT (171.0479611667 -44.7262586),1626237,1782121,36572,"18 Bond Street, Waimate",18,18,,Bond Street,Waimate,Waimate District,Bond Street,"18 Bond Street, Waimate",Waimate,171.047961167,-44.7262586
POINT (171.0404485 -44.7364930333),1729063,1783512,42313,"104 Shearman Street, Waimate",104,104,,Shearman Street,Waimate,Waimate District,Shearman Street,"104 Shearman Street, Waimate",Waimate,171.0404485,-44.7364930333
POINT (171.0346106667 -44.73772085),1729067,3061045,320695,"32 Point Bush Road, Waimate",32,32,,Point Bush Road,Waimate,Waimate District,Point Bush Road,"32 Point Bush Road, Waimate",Waimate,171.034610667,-44.73772085
POINT (170.49382 -44.660195),947638,1786560,320976,"382 Farm Road, Hakataramea, Kurow",382,382,,Farm Road,Hakataramea,Waimate District,Farm Road,"382 Farm Road, Hakataramea, Kurow",Hakataramea,170.49382,-44.660195
POINT (170.820449 -44.746614),947752,3047006,282464,"1066 Serpentine Valley Road, Waihaorunga",1066,1066,,Serpentine Valley Road,Waihaorunga,Waimate District,Serpentine Valley Road,"1066 Serpentine Valley Road, Waihaorunga",Waihaorunga,170.820449,-44.746614
POINT (171.069726 -44.847978),947864,3065372,317600,"136 Old Ferry Road, Morven",136,136,,Old Ferry Road,Morven,Waimate District,Old Ferry Road,"136 Old Ferry Road, Morven",Morven,171.069726,-44.847978000000005
POINT (171.071557 -44.763811),947924,1785595,44022,"352 Waihao Back Road, Waimate",352,352,,Waihao Back Road,Waimate,Waimate District,Waihao Back Road,"352 Waihao Back Road, Waimate",Waimate,171.071557,-44.763811
POINT (171.127727 -44.788731),948102,1783572,320773,"231 Willowbridge Road, Waimate",231,231,,Willowbridge Road,Waimate,Waimate District,Willowbridge Road,"231 Willowbridge Road, Waimate",Waimate,171.127727,-44.788731
POINT (171.109464 -44.711274),948198,1782169,38726,"21 Dunbars Road, Waimate",21,21,,Dunbars Road,Waimate,Waimate District,Dunbars Road,"21 Dunbars Road, Waimate",Waimate,171.109464,-44.711273999999996
