,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
65524,,Timaru,27/08/15,Tm00000843  2015,60 Arowhenua Station Road RD 3 Timaru 7973  Timaru,60 Arowhenua Station Road,RD 3 Timaru 7973,,LOT: 5 DP: 402675,"281,820",erect dwelling & install woodsman tarras freestanding wetbackwoodburner/wastewater treatment system
65525,,Timaru,27/08/15,Tm00000825  2015,55 Connolly Street Geraldine 7930  Timaru,55 Connolly Street,Geraldine 7930,,Lot: 6 DP: 13782,"80,000",dwelling alterations & install masport r5000l freestandingwoodburner
65529,,Timaru,27/08/15,Tm00000859  2015,23 Richmond Street Timaru 7910  Timaru,23 Richmond Street,Timaru 7910,,Lot: 38 DP: 3407,"8,000",dwelling alterations & install woodsman totara inbuilt woodburner
65530,,Timaru,28/08/15,Tm00000696  2015,Hunter Hills Drive Timaru 7910  Timaru,Hunter Hills Drive,Timaru 7910,,LOT: 1 DP: 456616,"505,000",erect dwelling & install masport le4000 inbuilt woodburner
65531,,Timaru,28/08/15,Tm00000448  2015,456 Spur Road RD 4 Timaru 7974  Timaru,456 Spur Road,RD 4 Timaru 7974,,LOT: 3 DP: 420866,"490,000",erect dwelling with attached garage & install firenzo kompact serenity woodburner / wrights wastewater treatment system
65536,,Timaru,31/08/15,Tm00000790  2015,Woodbury Road RD 21 Gerladine 7991  Timaru,Woodbury Road,RD 21 Gerladine 7991,,LOT: 1 DP: 480050,"60,000",erect dwelling & install holding tank / masport r5000l freestandingwoodburner
65538,,Timaru,31/08/15,Tm00000915  2015,78 Woodbury Road RD 21 Gerladine 7991  Timaru,78 Woodbury Road,RD 21 Gerladine 7991,,Lot: 1 DP: 16226,"2,500",install bosca firepoint 360 freestanding wetback woodburner
65539,,Timaru,31/08/15,Tm00000922  2015,15 Avenel Street Winchester 7958  Timaru,15 Avenel Street,Winchester 7958,,Lot: 2 DP: 37244,"2,500",install metro eco wee rad freestanding wetback woodburner
65540,,Timaru,31/08/15,Tm00000923  2015,1 Mere Mere Street Timaru 7910  Timaru,1 Mere Mere Street,Timaru 7910,,Lot: 3 DP: 11857,"2,500",install metro eco wee rad wee freestanding woodburner
65541,,Timaru,31/08/15,Tm00000914  2015,34 Hamilton Street Temuka 7920  Timaru,34 Hamilton Street,Temuka 7920,,Sec: 66 Su: AROWHENUA                TN,"2,500",install masport osburn 1600 freestanding woodburner
65545,,Timaru,1/09/15,Tm00000918  2015,48 MacAulay Street Timaru 7910  Timaru,48 MacAulay Street,Timaru 7910,,Lot: 8 DP: 35137,"2,500",install woodsman tasman freestanding woodburner
65546,,Timaru,1/09/15,Tm00000916  2015,97A Avenue Road Timaru 7910  Timaru,97A Avenue Road,Timaru 7910,,LOT: 3 DP: 424210,"2,500",install metro tiny ped freestanding woodburner
65557,,Timaru,4/09/15,Tm00000955  2015,20 June Street Timaru 7910  Timaru,20 June Street,Timaru 7910,,Lot: 1 DP: 11191,"2,500",install woodsman totara inbuilt woodburner
65561,,Timaru,7/09/15,Tm00000954  2015,112 Talbot Street Geraldine 7930  Timaru,112 Talbot Street,Geraldine 7930,,SEC: 166,"2,500",install pyroclassic iv freestanding woodburner
65568,,Timaru,11/09/15,Tm00000895  2015,135 Main Road Pleasant Point 7903  Timaru,135 Main Road,Pleasant Point 7903,,LOT: 1 DP: 456681,"419,000",erect dwelling & install metro smart inbuilt woodburner/ erect garage & carport
65574,,Timaru,11/09/15,Tm00000960  2015,5 Hertford Street Timaru 7910  Timaru,5 Hertford Street,Timaru 7910,,LOT: 1 DP: 3065,"2,500",install masport r5000 ped freestanding woodburner
65575,,Timaru,11/09/15,Tm00000974  2015,9 Newton Street Timaru 7910  Timaru,9 Newton Street,Timaru 7910,,PLT: 29 DP: 518,"2,500",install masport r5000 freestanding woodburner
65583,,Timaru,15/09/15,Tm00000872  2015,3 Apsley Street Timaru 7910  Timaru,3 Apsley Street,Timaru 7910,,LOT: 1 DP: 72071,"98,000",dwelling additions & install woodsman matai mkii freestanding woodburner
65585,,Timaru,15/09/15,Tm00000939  2015,565 Rolling Ridges Road RD 5 Timaru 7975  Timaru,565 Rolling Ridges Road,RD 5 Timaru 7975,,LOT: 1 DP: 70481,"2,500",install kent quantum freestanding woodburner
65591,,Timaru,17/09/15,Tm00000839  2015,Cliffs Road RD 4 Timaru 7974  Timaru,Cliffs Road,RD 4 Timaru 7974,,Lot: 1 DP: 361433,"300,000",erect dwelling & install ethos aquos freestanding wet back woodburner/ wrights wastewater system/ erect shed
65595,,Timaru,18/09/15,Tm00000902  2015,544 Pleasant Valley Road RD 21 Geraldine 7991  Timaru,544 Pleasant Valley Road,RD 21 Geraldine 7991,,LOT: 1 DP: 443123,"269,400",erect dwelling & install metro euro rad freestanding woodburner /wrights wastewater treatment system (bh15-178)
65599,,Timaru,21/09/15,Tm00000907  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"268,000",erect relocatable dwelling & install woodsman tarras mkiii freestanding woodburner (cd15-162)
65603,,Timaru,22/09/15,Tm00000374  2015,80 Kabul Street Pleasant Point 7903  Timaru,80 Kabul Street,Pleasant Point 7903,,Lot: 2 DP: 47995,"250,000",dwelling alteration/additions & install masport r5000freestanding woodburner
65606,,Timaru,22/09/15,Tm00000998  2015,30 Regent Street Timaru 7910  Timaru,30 Regent Street,Timaru 7910,,LOT: 2 DP: 41039,"2,500",install masport bannockburn 12000 inbuilt woodburner
65607,,Timaru,22/09/15,Tm00000999  2015,609 Arowhenua Road RD 5 Timaru 7975  Timaru,609 Arowhenua Road,RD 5 Timaru 7975,,Lot: 1 DP: 47994,"2,500",install woodsman tasman mkii freestanding woodburner
65608,,Timaru,22/09/15,Tm00001000  2015,5 The Avenue Pareora 7912  Timaru,5 The Avenue,Pareora 7912,,Lot: 2 DP: 43096,"2,500",install jayline ss300p freestanding woodburner
65611,,Timaru,23/09/15,Tm00001007  2015,15 Lachlan Street Temuka 7920  Timaru,15 Lachlan Street,Temuka 7920,,Lot: 6 DP: 47926,"2,500",install woodsman tasman mk ii freestanding woodburner
65615,,Timaru,24/09/15,Tm00001001  2015,70 Harper Street Timaru 7910  Timaru,70 Harper Street,Timaru 7910,,LOT: 2 DP: 4155,"2,500",install jayline ss600p freestanding woodburner
65616,,Timaru,24/09/15,Tm00000978  2015,35A Avenue Road Timaru 7910  Timaru,35A Avenue Road,Timaru 7910,,LOT: 2 DP: 468619,"2,500",install masport r5000 freestanding woodburner
65617,,Timaru,24/09/15,Tm00001005  2015,694 Seadown Road RD 3 Timaru 7973  Timaru,694 Seadown Road,RD 3 Timaru 7973,,LOT: 1 DP: 482133,"2,500",install woodsman tasman mkii freestanding woodburner
65627,,Timaru,29/09/15,Tm00000346  2015,273 Opihi Road RD 12 Pleasant Point 7982  Timaru,273 Opihi Road,RD 12 Pleasant Point 7982,,LOT: 1 DP: 4612,"199,000",dwelling addition & alterations & install woodsman tarras mkiiifreestanding woodburner
65633,,Timaru,30/09/15,Tm00000947  2015,35A Totara Street Pleasant Point 7903  Timaru,35A Totara Street,Pleasant Point 7903,,Lot: 1 DP: 457279,"400,000",erect dwelling & install woodsman tarras mkiii freestanding woodburner
65635,,Timaru,30/09/15,Tm00000928  2015,32 Harrison Road Timaru 7910  Timaru,32 Harrison Road,Timaru 7910,,Lot: 2 DP: 46763,"60,000",dwelling alterations & install yunca monte euro freestanding wetback woodburner
65639,,Timaru,30/09/15,Tm00001006  2015,19 June Street Timaru 7910  Timaru,19 June Street,Timaru 7910,,Lot: 11 DP: 15122,"2,500",install masport osburn mk ii 1600 freestanding woodburner
65645,,Timaru,6/10/15,Ti00000951  2015,114 Otipua Road Timaru 7910  Timaru,114 Otipua Road,Timaru 7910,,LOT: 1 DP: 15543,"25,000",dwelling alterations & install metro xtreme rad freestanding woodburner
65646,,Timaru,6/10/15,Ti00001038  2015,45 Pukatea Street Timaru 7910  Timaru,45 Pukatea Street,Timaru 7910,,LOT: 3 DP: 27647,"2,500",install woodsman tarras freestanding woodburner
65647,,Timaru,6/10/15,Ti00001043  2015,14 Cornwall Street Timaru 7910  Timaru,14 Cornwall Street,Timaru 7910,,Lot: 56 DP: 19414,"2,500",install woodsman totara inbuilt woodburner
65650,,Timaru,7/10/15,Ti00001044  2015,52 Andrew Street Timaru 7910  Timaru,52 Andrew Street,Timaru 7910,,LOT: 204 DP: 15410,"2,500",install bosca limit  380 freestanding woodburner
65651,,Timaru,7/10/15,Ti00001037  2015,22 Hertford Street Timaru 7910  Timaru,22 Hertford Street,Timaru 7910,,LOT: 29 DP: 263,"2,500",install woodsman tasman mkii freestanding woodburner
65652,,Timaru,8/10/15,Ti00000942  2015,1 Lancewood Terrace Timaru 7910  Timaru,1 Lancewood Terrace,Timaru 7910,,LOT: 1 DP: 484803,"635,000",erect dwelling with attached garage & install bosco spirit 550freestanding woodburner
65653,,Timaru,8/10/15,Ti00000910  2015,Butlers Road RD 4 Timaru 7974  Timaru,Butlers Road,RD 4 Timaru 7974,,LOT: 11 DP: 410205,"402,581",erect dwelling with attached garage & install woodsman tasman mkii freestanding woodburner
65656,,Timaru,8/10/15,Ti00001020  2015,36 Gammack Street Temuka 7920  Timaru,36 Gammack Street,Temuka 7920,,Sec: 643 Su: AROWHENUA                TN,"2,500",install masport bannockburn i2000 inbuilt woodburner
65658,,Timaru,9/10/15,Ti00000946  2015,14 Craigie Avenue Timaru 7910  Timaru,14 Craigie Avenue,Timaru 7910,,LOT: 3 DP: 11701,"6,000",dwelling alterations & install woodsman tarras mk iii freestanding woodburner
65659,,Timaru,9/10/15,Ti00001052  2015,10 Collingwood Street Timaru 7910  Timaru,10 Collingwood Street,Timaru 7910,,Lot: 1 DP: 3574,"2,500",install metro wee rad freestanding woodburner
65661,,Timaru,12/10/15,Ti00000957  2015,375 King Road RD 5 Timaru 7975  Timaru,375 King Road,RD 5 Timaru 7975,,LOT: 3 DP: 471525,"482,000",erect dwelling with attached garage & install metro eco xtreme rad wetback freestanding woodburner/wastewater treatment system
65664,,Timaru,12/10/15,Ti00001056  2015,332 Gleniti Road RD 4 Timaru 7974  Timaru,332 Gleniti Road,RD 4 Timaru 7974,,LOT: 2 DP: 22821,"2,500",install firenzo contessa ag freestanding woodburner
65665,,Timaru,12/10/15,Ti00001057  2015,41 Richard Pearse Drive Temuka 7920  Timaru,41 Richard Pearse Drive,Temuka 7920,,Lot: 2 DP: 41465,"2,500",install metro xtreme rad freestanding woodburner
65670,,Timaru,13/10/15,Ti00000854  2015,Townsend Road RD 21 Geraldine 7991  Timaru,Townsend Road,RD 21 Geraldine 7991,,Lot: 1 DP: 82573,"6,500",siting/services/foundations for relocatable dwelling & install woodsman tarra mk iii freestanding woodburner
65671,,Timaru,14/10/15,Ti00000934  2015,Butlers Road RD 4 Timaru 7974  Timaru,Butlers Road,RD 4 Timaru 7974,,LOT: 10 DP: 410205,"750,000",erect dwelling with attached garage & install masport atlanta bay freestanding woodburner
65676,,Timaru,15/10/15,Ti00000742  2015,Kalaugher Road RD 21 Geraldine 7991  Timaru,Kalaugher Road,RD 21 Geraldine 7991,,PLT: 1 DP: 9545,"489,000",erect dwelling with attached garage & install pyroclassic ivfreestanding woodburner
65679,,Timaru,16/10/15,Ti00000972  2015,63 Barrett Road RD 3 Timaru 7973  Timaru,63 Barrett Road,RD 3 Timaru 7973,,SEC: 9A1A MR: 882,"400,000",erect dwelling & install metro xtreme ped freestanding woodburner /wastewater treatment system
65683,,Timaru,16/10/15,Ti00001078  2015,3A Mowbray Street Timaru 7910  Timaru,3A Mowbray Street,Timaru 7910,,Lot: 8 DP: 15543,"2,500",install masport i3000 inbuilt woodburner
65684,,Timaru,16/10/15,Ti00001079  2015,37 Campbell Street Geraldine 7930  Timaru,37 Campbell Street,Geraldine 7930,,Lot: 2 DP: 40141,"2,500",install firenzo viking ag wetback freestanding woodburner
65685,,Timaru,19/10/15,Ti00000970  2015,93 Dobson Street Timaru 7910  Timaru,93 Dobson Street,Timaru 7910,,LOT: 2 DP: 451401,"420,000",erect dwelling & install woodsman tarras dry mkiii freestanding woodburner
65691,,Timaru,20/10/15,Ti00001053  2015,2/19 Beverley Hill Timaru 7910  Timaru,2/19 Beverley Hill,Timaru 7910,,Lot: 2 DP: 24776,"2,500",install metro r1 freestanding woodburner
65696,,Timaru,21/10/15,Ti00001013  2015,17 Toner Road RD 26 Temuka 7986  Timaru,17 Toner Road,RD 26 Temuka 7986,,RS: 41417,"7,948",dwelling alterations & install woodsman tarras mkiii freestanding woodburner
65697,,Timaru,21/10/15,Ti00001090  2015,620 Rolling Ridges Road RD 5 Timaru 7975  Timaru,620 Rolling Ridges Road,RD 5 Timaru 7975,,LOT: 1 DP: 72410,"2,500",install woodsman tarras mkiii freestanding woodburner
65698,,Timaru,21/10/15,Ti00001016  2015,32 Edward Street Timaru 7910  Timaru,32 Edward Street,Timaru 7910,,LOT: 1 DP: 407210,"2,500",install firenzo bronte ag freestanding woodburner
65699,,Timaru,21/10/15,Ti00001089  2015,9 Irvine Street Timaru 7910  Timaru,9 Irvine Street,Timaru 7910,,Lot: 3 DP: 8842,"2,500",install metro eco extreme ped freestanding woodburner
65700,,Timaru,22/10/15,Ti00000926  2015,Rosebrook Road RD 4 Timaru 7974  Timaru,Rosebrook Road,RD 4 Timaru 7974,,LOT: 1 DP: 73829,"550,000",erect dwelling with attached garage & install natural flow wastewater treatment system / jotul harmony i18 inbuilt woodburner / ecomax autostoker coal boiler
65702,,Timaru,22/10/15,Ti00001086  2015,87 Lynch Road RD 3 Timaru 7973  Timaru,87 Lynch Road,RD 3 Timaru 7973,,PRS: 19746,"2,500",install woodsman ecr novo freestanding woodburner
65704,,Timaru,23/10/15,Ti00001029  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"237,000",erect relocatable dwelling & install woodsman tasman mkii freestanding woodburner (r015-119)
65706,,Timaru,23/10/15,Ti00000990  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"230,000",erect relocatable dwelling & install woodsman aspen freestanding woodburner (nm15-179)
65710,,Timaru,27/10/15,Ti00001011  2015,15A-17A Broadway Avenue Timaru 7910  Timaru,15A-17A Broadway Avenue,Timaru 7910,,LOT: 1 DP: 477502,"350,000",erect dwelling with attached garage & install woodsman totara inbuilt woodburner (unit 1)
65711,,Timaru,27/10/15,Ti00000987  2015,21 Coles Street Geraldine 7930  Timaru,21 Coles Street,Geraldine 7930,,Lot: 7 DP: 413163,"200,000",erect dwelling & install metro wee rad freestanding woodburner/erect garage
65712,,Timaru,27/10/15,Ti00000991  2015,3 Bidwill Street Timaru 7910  Timaru,3 Bidwill Street,Timaru 7910,,Lot: 9 DP: 4442,"50,000",dwelling alterations & install woodsman totara inbuilt woodburner
65713,,Timaru,27/10/15,Ti00001102  2015,29 Turnbull Street Pareora 7912  Timaru,29 Turnbull Street,Pareora 7912,,Lot: 9 DP: 1988,"2,500",install jayline is550 inbuilt woodburner
65714,,Timaru,27/10/15,Ti00001101  2015,12 Rathmore Street Timaru 7910  Timaru,12 Rathmore Street,Timaru 7910,,PLT: 36 DP: 2050,"2,500",install masport bannockburn i2000 inbuilt woodburner
65715,,Timaru,27/10/15,Ti00001100  2015,8 Sutton Road RD 2 Timaru 7972  Timaru,8 Sutton Road,RD 2 Timaru 7972,,PLT: 5 DP: 4364,"2,500",install masport le4000 inbuilt woodburner
65718,,Timaru,28/10/15,Ti00000931  2015,34 Poole Road RD 21 Geraldine 7991  Timaru,34 Poole Road,RD 21 Geraldine 7991,,Lot: 1 DP: 378873,"20,000",building additions/alterations & install woodsman matai ecr mkii freestanding woodburner/ erect carport
65728,,Timaru,2/11/15,Ti00001116  2015,168 Timaru-Temuka Highway RD 3 Timaru 7973  Timaru,168 Timaru-Temuka Highway,RD 3 Timaru 7973,,Lot: 1 DP: 301043,"2,500",install metro classic rad freestanding woodburner
65729,,Timaru,2/11/15,Ti00001112  2015,5 Catherine Street Timaru 7910  Timaru,5 Catherine Street,Timaru 7910,,LOT: 2 DP: 6832,"2,500",install metro eco wee rad freestanding woodburner
65732,,Timaru,3/11/15,Ti00001118  2015,56 Douglas Street Timaru 7910  Timaru,56 Douglas Street,Timaru 7910,,Lot: 6 DP: 15116,"2,500",install metro eco extreme ped freestanding woodburner
65733,,Timaru,3/11/15,Ti00001119  2015,6 Matai Crescent Timaru 7910  Timaru,6 Matai Crescent,Timaru 7910,,Lot: 1 DP: 29327,"2,500",install metro eco extreme ped freestanding woodburner
65734,,Timaru,3/11/15,Ti00001120  2015,Geraldine-Arundel Road RD 22 Geraldine 7992  Timaru,Geraldine-Arundel Road,RD 22 Geraldine 7992,,Lot: 5 DP: 70366,"2,500",install metro l.t.d extreme rad freestanding woodburner
65735,,Timaru,4/11/15,Ti00001127  2015,19 Newton Street Timaru 7910  Timaru,19 Newton Street,Timaru 7910,,Lot: 26 DP: 13453,"19,999",dwelling alterations & install woodsman ecr novo freestandingwoodburner
65736,,Timaru,5/11/15,Ti00001042  2015,5 Lancewood Terrace Timaru 7910  Timaru,5 Lancewood Terrace,Timaru 7910,,LOT: 3 DP: 484803,"570,000",erect dwelling with attached garage & install pyroclassic iv freestanding woodburner / block retaining wall
65738,,Timaru,5/11/15,Ti00001034  2015,13 Keane Road RD 4 Timaru 7974  Timaru,13 Keane Road,RD 4 Timaru 7974,,PLT: 1 DP: 28541,"270,000",erect dwelling & install metro rad freestanding woodburner/wastewater treatment system
65741,,Timaru,5/11/15,Ti00001099  2015,31 Devon Street Timaru 7910  Timaru,31 Devon Street,Timaru 7910,,Lot: 35 DP: 19414,"2,500",install masport osburn 1600 mkii frestanding woodburner
65742,,Timaru,5/11/15,Ti00001117  2015,72 Temple Crescent Timaru 7910  Timaru,72 Temple Crescent,Timaru 7910,,Lot: 10 DP: 70191,"2,500",install metro eco mega rad freestanding woodburner
65746,,Timaru,6/11/15,Ti00001146  2015,3 Short Street Timaru 7910  Timaru,3 Short Street,Timaru 7910,,Lot: 2 DP: 36241,"2,500",install woodsman totara inbuilt woodburner
65747,,Timaru,9/11/15,Ti00001055  2015,124 Woodbury Road RD 21 Geraldine 7991  Timaru,124 Woodbury Road,RD 21 Geraldine 7991,,Lot: 1 DP: 54199,"250,000",dwelling addition & alterations / install firebird c44 enviromaxdiesel burner / warmington retro fit inbuilt woodburner / firenzokompact diva woodburner
65748,,Timaru,9/11/15,Ti00001039  2015,382 Seadown Road RD 3 Timaru 7973  Timaru,382 Seadown Road,RD 3 Timaru 7973,,Lot: 10 DP: 657,"90,000",dwelling additions & alterations/install woodsman matai mkiifreestanding woodburner
65755,,Timaru,10/11/15,Ti00001153  2015,14 Church Street RD 21 Geraldine 7991  Timaru,14 Church Street,RD 21 Geraldine 7991,,Lot: 63 DP: 112,"2,500",install metro wee rad freestanding woodburner
65756,,Timaru,11/11/15,Ti00001051  2015,2 Laughton Street Timaru 7910  Timaru,2 Laughton Street,Timaru 7910,,LOT: 4 DP: 456245,"300,000",erect relocatable dwelling & install metro mega radfreestanding woodburner
65761,,Timaru,13/11/15,Ti00000975  2015,20 Khan Street Pleasant Point 7903  Timaru,20 Khan Street,Pleasant Point 7903,,LOT: 2 DP: 406342,"431,604",erect dwelling with attached garage & install woodsman tarras mkiiifreestanding woodburner
65770,,Timaru,16/11/15,Ti00001138  2015,6 Benvenue Avenue Timaru 7910  Timaru,6 Benvenue Avenue,Timaru 7910,,LOT: 2 DP: 10693,"2,500",install jayline 1550 inbuilt woodburner
65771,,Timaru,16/11/15,Ti00001139  2015,23 Ellesmere Place Timaru 7910  Timaru,23 Ellesmere Place,Timaru 7910,,Lot: 7 DP: 72360,"2,500",install jayline ss600p freestanding woodburner
65772,,Timaru,16/11/15,Ti00001140  2015,11 Somerset Street Timaru 7910  Timaru,11 Somerset Street,Timaru 7910,,Lot: 78 DP: 19380,"2,500",install masport r5000l freestanding woodburner
65773,,Timaru,16/11/15,Ti00001141  2015,26 Cornwall Street Timaru 7910  Timaru,26 Cornwall Street,Timaru 7910,,Lot: 51 DP: 19414,"2,500",install yunca monte base freestanding woodburner
65774,,Timaru,16/11/15,Ti00001160  2015,350 Pages Road Timaru 7910  Timaru,350 Pages Road,Timaru 7910,,Lot: 1 DP: 47794,"2,500",install yunca monte ped freestanding woodburner
65776,,Timaru,17/11/15,Ti00001085  2015,11-11A Hertford Street Timaru 7910  Timaru,11-11A Hertford Street,Timaru 7910,,LOT: 57 DP: 263,"250,000",erect dwelling with attached garage & install woodsman novofreestanding woodburner
65778,,Timaru,17/11/15,Ti00001145  2015,9 College Road Timaru 7910  Timaru,9 College Road,Timaru 7910,,LOT: 1 DP: 463789,"2,500",install masport talisman freestanding woodburner
65779,,Timaru,18/11/15,Ti00001136  2015,12 Abbott Street Pareora 7912  Timaru,12 Abbott Street,Pareora 7912,,Lot: 164 DP: 1988,"2,500",install masport r5000p freestanding woodburner
65780,,Timaru,18/11/15,Ti00001167  2015,9 Birkett Street Temuka 7920  Timaru,9 Birkett Street,Temuka 7920,,Sec: 151 Su: WALLINGFORD              TN,"2,500",install metro xtreme ped freestanding woodburner
65781,,Timaru,18/11/15,Ti00001166  2015,15 Glenview Terrace Timaru 7910  Timaru,15 Glenview Terrace,Timaru 7910,,Lot: 17 DP: 41311,"2,500",install pyroclassic iv freestanding woodburner
65782,,Timaru,18/11/15,Ti00001173  2015,74 Princes Street Temuka 7920  Timaru,74 Princes Street,Temuka 7920,,Lot: 2 DP: 382396,"2,500",install woodsman ecr novo freestanding woodburner
65792,,Timaru,20/11/15,Ti00001207  2015,10A Cain Street Timaru 7910  Timaru,10A Cain Street,Timaru 7910,,PLT: 4 DP: 7568,"2,500",install woodsman flare freestanding woodburner
65793,,Timaru,20/11/15,Ti00001190  2015,68 Casey Road RD 21 Geraldine 7991  Timaru,68 Casey Road,RD 21 Geraldine 7991,,SEC: 2 SET: KAKAHU SETT,"2,500",install woodsman tarras mk iii freestanding woodburner
65800,,Timaru,24/11/15,Ti00001041  2015,2 Birkett Street Temuka 7920  Timaru,2 Birkett Street,Temuka 7920,,Lot: 1 DP: 65242,"10,000",dwelling alterations & install metro wee rad freestanding woodburner
65804,,Timaru,25/11/15,Ti00001209  2015,608 Woodbury Road RD 21 Geraldine 7991  Timaru,608 Woodbury Road,RD 21 Geraldine 7991,,Lot: 17 DP: 112,"2,500",install masport r5000 freestanding woodburner
65805,,Timaru,26/11/15,Ti00001104  2015,32 Gladstone Road RD 4 Timaru 7974  Timaru,32 Gladstone Road,RD 4 Timaru 7974,,Lot: 3 DP: 26682,"82,710",dwelling addition & install woodsman tarras mk ii freestanding woodburner
65809,,Timaru,27/11/15,Ti00001196  2015,1 Ranfurly Street Timaru 7910  Timaru,1 Ranfurly Street,Timaru 7910,,LOT: 33 DP: 2273,"8,000",dwelling alterations & relocate woodsman tarras freestandingwoodburner
65811,,Timaru,27/11/15,Ti00001237  2015,278 Wai-iti Road Timaru 7910  Timaru,278 Wai-iti Road,Timaru 7910,,LOT: 5 DP: 22263,"2,500",relocate existing metro wee rad freestanding woodburner
65812,,Timaru,30/11/15,Ti00001126  2015,15 Hunter Hills Drive Timaru 7910  Timaru,15 Hunter Hills Drive,Timaru 7910,,LOT: 39 DP: 486645,"264,132",erect dwelling with attached garage & install woodsman ecr novofreestanding woodburner
65815,,Timaru,31/12/15,01045  2015,36 South Street Timaru 7910  Timaru,36 South Street,Timaru 7910,,LOT: 1 DP: 442847,"510,000",erect dwelling with attached garage & install woodsman tarras dry mkii freestanding woodburner/ erect shed
65816,,Timaru,31/12/15,01163  2015,4 Lazarette Loop Timaru 7910  Timaru,4 Lazarette Loop,Timaru 7910,,LOT: 37 DP: 486645,"498,000",erect dwelling & install woodsman tarras mkiii freestanding woodburner
65817,,Timaru,31/12/15,01133  2015,19 Hunter Hills Drive Timaru 7910  Timaru,19 Hunter Hills Drive,Timaru 7910,,LOT: 41 DP: 486645,"495,000",erect dwelling with attached garage & install firenzo contessa ag freestanding woodburner
65818,,Timaru,31/12/15,01122  2015,122 Gleniti Road Timaru 7910  Timaru,122 Gleniti Road,Timaru 7910,,LOT: 2 DP: 421472,"450,000",erect dwelling & install masport f3000 freestanding woodburner
65819,,Timaru,31/12/15,01208  2015,15 Rathmore Street Timaru 7910  Timaru,15 Rathmore Street,Timaru 7910,,PLT: 37 DP: 2050,"430,000",erect dwelling & install woodsman tasman mk ii freestanding woodburner
65825,,Timaru,31/12/15,01175  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"300,000",erect relocatable dwelling & install metro extreme rad freestanding woodburner (eb15-288)
65826,,Timaru,31/12/15,01193  2015,15 Irvine Street Timaru 7910  Timaru,15 Irvine Street,Timaru 7910,,Lot: 1 DP: 26324,"300,000",dwelling addition & alterations/install woodsman flare freestanding woodburner
65827,,Timaru,31/12/15,01105  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"260,000",erect relocatable dwelling & install woodsman tasman mk ii freestanding woodburner (sr15-219)
65828,,Timaru,31/12/15,01091  2015,843 Howell Road RD 12 Pleasant Point 7982  Timaru,843 Howell Road,RD 12 Pleasant Point 7982,,LOT: 2 DP: 64492,"250,000",dwelling additions & alterations/install woodsman mkiii tarras freestanding woodburner & erect pole shed
65830,,Timaru,31/12/15,01227  2015,783 Landsborough Road RD 4 Timaru 7974  Timaru,783 Landsborough Road,RD 4 Timaru 7974,,Lot: 4 DP: 76835,"224,769",erect dwelling with attached garage & install woodsman tarras mkiii freestanding wetback woodburner/ wastewater treatment system.
65832,,Timaru,31/12/15,01176  2015,93 Racecourse Road Timaru 7910  Timaru,93 Racecourse Road,Timaru 7910,,Lot: 2 DP: 405208,"190,000",erect relocatable dwelling & install woodsman ecr novo freestanding woodburner (ab15-227)
65833,,Timaru,31/12/15,01222  2015,407 Gleniti Road Timaru 7910  Timaru,407 Gleniti Road,Timaru 7910,,Lot: 1 DP: 318359,"170,000",dwelling additions & alterations / install stovax studio 2 inbuilt woodburner
65839,,Timaru,31/12/15,01075  2015,158 Greenvale Road RD 21 Geraldine 7991  Timaru,158 Greenvale Road,RD 21 Geraldine 7991,,LOT: 5 DP: 445934,"95,000",dwelling addition & install warmington tasman series46l freestanding woodburner
65840,,Timaru,31/12/15,01071  2015,348 Gleniti Road Timaru 7910  Timaru,348 Gleniti Road,Timaru 7910,,Lot: 1 DP: 28223,"95,000",dwelling alterations & install stovax riva studio 2 inbuilt woodburner
65842,,Timaru,31/12/15,01191  2015,33 Puriri Street Timaru 7910  Timaru,33 Puriri Street,Timaru 7910,,LOT: 10 DP: 24838,"90,000",dwelling alterations & install woodsman flare freestanding woodburner
65848,,Timaru,31/12/15,01083  2015,11 Temuka-Orari Highway Temuka 7920  Timaru,11 Temuka-Orari Highway,Temuka 7920,,LOT: 2 DP: 9611,"70,000",dwelling addition & install woodsman tarras mkiii freestanding woodburner
65873,,Timaru,31/12/15,01109  2015,24 Wilson Street Timaru 7910  Timaru,24 Wilson Street,Timaru 7910,,Lot: 3 DP: 11256,"15,000",dwelling alterations & install bosca spirit 550 freestanding woodburner
65882,,Timaru,31/12/15,01033  2015,24 Bowker Street Timaru 7910  Timaru,24 Bowker Street,Timaru 7910,,LOT: 9 DP: 9417,"8,650",dwelling alterations & install pyroclassic iv freestanding woodburner
65888,,Timaru,31/12/15,01290  2015,113 Domain Avenue Temuka 7920  Timaru,113 Domain Avenue,Temuka 7920,,Lot: 3 DP: 25155,"5,000",install two ethos aquos freestanding woodburners
