,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,consent_value,description
13606,,Christchurch ,26/03/15,C2015/2645,251 Grimseys Road Redwood   Christchurch ,251 Grimseys Road,Redwood, ,Lot 2 DP 25775,"4,500",dwelling alteration - installation of masport r5000 freestanding dry woodburner cac131295
13607,,Christchurch ,26/03/15,C2015/2743,44 Maryhill Avenue Hoon Hay   Christchurch ,44 Maryhill Avenue,Hoon Hay, ,Lot 1 DP 74993,"4,500",dwelling alteration - installation of woodsman ecr novo freestanding dry wood burner cac 153733
13608,,Christchurch ,26/03/15,C2015/2712,49 Thames Street St Albans   Christchurch ,49 Thames Street,St Albans, ,Lot 5 DP 10295,"4,500",dwelling alteration - installation of masport r1500 logburner existing flashing cac121119
13609,,Christchurch ,26/03/15,C2015/2721,52 Amyes Road Hornby   Christchurch ,52 Amyes Road,Hornby, ,Lot 32 DP 13550,"4,500",dwelling alteration - masport r5000 dry freestanding woodburner - cac131295
13610,,Christchurch ,26/03/15,C2015/2642,66 Roker Street Spreydon   Christchurch ,66 Roker Street,Spreydon, ,Lot 48 DP 662,"4,500",dwelling alterations - installation of a masport r1600 freestanding dry wood burner cac 133819
13611,,Christchurch ,26/03/15,C2015/2655,7 Kaputone Place Belfast   Christchurch ,7 Kaputone Place,Belfast, ,"Lot 3 DP 35636, Lot 3 DP 46940","4,500",dwelling alteration - installation of a metro wee rad freestanding wetback woodburner  cac 130816
13612,,Christchurch ,26/03/15,C2015/1715,410 Worsleys Road Hoon Hay Valley   Christchurch ,410 Worsleys Road,Hoon Hay Valley, ,Lot 1 DP 12886,"4,000",dwelling alterations - installation of a woodsman novo freestanding woodburner dry cac153733
13619,,Christchurch ,26/03/15,C2015/1197,16A Harrowdale Drive Avonhead   Christchurch ,16A Harrowdale Drive,Avonhead, ,Lot 4 DP 25278,"5,000",dwelling alterations - masport bannockburn i2000 dry insert woodburner - cac154102
13629,,Christchurch ,27/03/15,C2015/2744,73 Warren Crescent Hillmorton   Christchurch ,73 Warren Crescent,Hillmorton, ,Lot 55 DP 33874,"8,000",dwelling alteration - installation of masport r5000p freestanding dry woodburner cac131295
13631,,Christchurch ,27/03/15,C2015/2714,5 Derrynane Lane Cashmere   Christchurch ,5 Derrynane Lane,Cashmere, ,Lot 14 DP 50544,"4,500",dwelling alteration - installation of quadrafire 4300 freestadning wood fire cac083785
13640,,Christchurch ,27/03/15,C2015/2732,58 Hay Street Bromley   Christchurch ,58 Hay Street,Bromley, ,Flat 1 DP 53938 on RS 38881 Dist Canterbury having share in 784 m2,"6,200",dwelling alteration - installation of metro xtreme rad free standing wet woodburner cac 132246
13641,,Christchurch ,27/03/15,C2015/2661,195A Ashgrove Terrace Spreydon   Christchurch ,195A Ashgrove Terrace,Spreydon, ,"Lot 2 DP 18285, Lot 1 DP 44725","5,500",dwelling alteration - installation of woodsman tarras dry mkiii freestanding dry woodburner cac - 143492
13642,,Christchurch ,27/03/15,C2015/2665,2/65 Kensington Avenue St Albans   Christchurch ,2/65 Kensington Avenue,St Albans, ,Flat 2 DP 24870 on Lot 3 DP 11973 having share in 610 m2,"3,820",dwelling alterations - woodsman - ecr novo - freestanding - dry - woodburner - cac153733
13643,,Christchurch ,27/03/15,C2015/2672,21 Highcrest Heights Westmorland   Christchurch ,21 Highcrest Heights,Westmorland, ,Lot 22 DP 81184,"3,380",dwelling alterations - installation of a woodsman novo dry freestanding woodburner cac153733
13644,,Christchurch ,27/03/15,C2015/2676,18 Charles Upham Avenue Hillmorton   Christchurch ,18 Charles Upham Avenue,Hillmorton, ,Lot 8 DP 25117,"3,350",dwelling alteration - installation of masport r1500l freestanding dry woodburner cac - 121119
13645,,Christchurch ,27/03/15,C2015/2734,36 Acacia Avenue Upper Riccarton   Christchurch ,36 Acacia Avenue,Upper Riccarton, ,Lot 56 DP 16688,"1,000",dwelling alteration - installation of tropicair rimu mk iii freestanding dry woodburner cac090721
13654,,Christchurch ,27/03/15,C2015/2739,38 Merrin Street Avonhead   Christchurch ,38 Merrin Street,Avonhead, ,Lot 1 DP 304211,"4,500",dwelling alteration - installation of jayline is550 built in dry woodburner cac141268
13656,,Christchurch ,27/03/15,C2015/2593,28 Fairford Street Bishopdale   Christchurch ,28 Fairford Street,Bishopdale, ,Lot 1 DP 79542,"5,000",dwelling alteration - installation of a masport r1500 freestanding dry wood burner cac 121119
13664,,Christchurch ,27/03/15,C2015/2347,9 Amos Place Shirley   Christchurch ,9 Amos Place,Shirley, ,Pt Lot 4 DP 23777,"5,000",dwelling alteration - installation of woodsman mkii ecr dry freestanding woodburner cac 071128
13665,,Christchurch ,27/03/15,C2015/2331,92 Memorial Avenue Fendalton   Christchurch ,92 Memorial Avenue,Fendalton, ,Lot 1 DP 13787,"5,000",dwelling alteration - masport r5000 dry freestanding woodburner - cac131295
13689,,Christchurch ,4/05/15,C/2015/4032,9 Huia Street Riccarton  Christchurch ,9 Huia Street,Riccarton,,Lot 82 DP 15002,"5,000",dwelling alteration - installation of a woodsman totara fireplace insert dry wood burner  cac 110220
13690,,Christchurch ,4/05/15,C/2015/4038,28 Westholme Street Papanui  Christchurch ,28 Westholme Street,Papanui,,Lot 36 DP 15118,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry wood burner cac110220
13691,,Christchurch ,4/05/15,C/2015/4036,10 Vancouver Crescent Wainoni  Christchurch ,10 Vancouver Crescent,Wainoni,,Lot 8 DP 21635,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13692,,Christchurch ,4/05/15,C/2015/4039,36 Westholme Street Papanui  Christchurch ,36 Westholme Street,Papanui,,Lot 33 DP 15118,"5,000",dwelling alteration - installation of woodsman totara inbuilt dry woodburner cac110220
13693,,Christchurch ,4/05/15,C/2015/4024,72 Centennial Avenue Riccarton  Christchurch ,72 Centennial Avenue,Riccarton,,Lot 155 DP 14995,"5,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13694,,Christchurch ,4/05/15,C/2015/4031,162 Emmett Street Shirley  Christchurch ,162 Emmett Street,Shirley,,Lot 338 DP 21010,"5,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13713,,Christchurch ,5/05/15,C/2015/3844,69 Smith Street Linwood  Christchurch ,69 Smith Street,Linwood,,Pt Lot 1 DP 7034,"6,000",dwelling alteration - woodsman totara dry insert woodburner - cac110220
13714,,Christchurch ,5/05/15,C/2015/3840,71 Clarendon Terrace Woolston  Christchurch ,71 Clarendon Terrace,Woolston,,Lot 69 DP 603,"5,000",dwelling alteration - masport r5000 ws dry freestanding woodburner - cac131295
13715,,Christchurch ,5/05/15,C/2015/3939,7 Fairford Street Bishopdale  Christchurch ,7 Fairford Street,Bishopdale,,Lot 372 DP 23892,"5,000",dwelling alteration - woodsman ecr novo dry freestanding woodburner - cac153733
