id,add,statue
6180,"29 Branston Street, Hornby, Christchurch",Request timed out
6194,"72 Hayton Road, Wigram, Christchurch",Request timed out
6195,"15 Glenavon Place, Ilam, Christchurch",Request timed out
6208,"10 Wairarapa Terrace, Merivale, Christchurch",Request timed out
6211,"20 Bengal Drive, Cashmere, Christchurch",Request timed out
6219,"8 Wilmington Place, Shirley, Christchurch",Request timed out
6225,"5 Staffordshire Street, Burwood, Christchurch",Request timed out
6238,"11 Rodney Street, New Brighton, Christchurch",Request timed out
6312,"2/104 Hoon Hay Road, Hoon Hay, Christchurch",Request timed out
6326,"17/336 Lincoln Road, Addington, Christchurch",Request timed out
6327,"2/12 Primrose Street, Northcote, Christchurch",Request timed out
6358,"60A/113 Worcester Street, Christchurch Central, Christchurch",Request timed out
6413,"3 Broadhaven Avenue, Parklands, Christchurch",Request timed out
6422,"3 Pennyburn Place, New Brighton, Christchurch",Request timed out
6423,"10 Mahuri Street, Parklands, Christchurch",Request timed out
6427,"162 Gloucester Street, Christchurch Central, Christchurch",Request timed out
6435,"10 Ringwood Place, Avonhead, Christchurch",Request timed out
6436,"15 Harkness Place, Avonhead, Christchurch",Request timed out
6444,"11 Charlcott Street, Burnside, Christchurch",Request timed out
6449,"9 Wilfrid Street, Ilam, Christchurch",Request timed out
6452,"34 Colligan Street, Upper Riccarton, Christchurch",Request timed out
6465,"63 Malcolm Avenue, Beckenham, Christchurch",Request timed out
6477,"58A Stour Drive, Burwood, Christchurch",Request timed out
6495,"2/14 Bay View Road, Moncks Bay, Christchurch",Request timed out
6533,"84 Chartwell Street, Burwood, Christchurch",Request timed out
6539,"6/17 Hooker Avenue, Bryndwr, Christchurch",Request timed out
6569,"42A Birch Street, Bexley, Christchurch",Request timed out
6598,"2/158 Seaview Road, New Brighton, Christchurch",Request timed out
6600,"2/116 Warden Street, Richmond, Christchurch",Request timed out
6629,"72 Halswell Junction Road, Halswell, Christchurch",Request timed out
6636,"11 Stanton Crescent, Hoon Hay, Christchurch",Request timed out
6640,"15 Print Place, Middleton, Christchurch",Request timed out
6658,"25 Somerfield Street, Somerfield, Christchurch",Request timed out
6659,"25 Patrick Street, Mairehau, Christchurch",Request timed out
6687,"35A McDougall Avenue, St Albans, Christchurch",Request timed out
6708,"14 Rempstone Drive, Halswell, Christchurch",Request timed out
6714,"40 Colina Street, Avonhead, Christchurch",Request timed out
6737,"11 Pahau Place, Cracroft, Christchurch",Request timed out
6740,"38 Stanbury Avenue, Somerfield, Christchurch",Request timed out
6800,"109BAX Worcester Street, Christchurch Central, Christchurch",Request timed out
6801,"33A Larch Place, Casebrook, Christchurch",Request timed out
6803,"1/174 Strickland Street, Sydenham, Christchurch",Request timed out
6866,"4/27 Whitmore Street, Edgeware, Christchurch",Request timed out
6876,"7 Beaumaris Place, Sockburn, Christchurch",Request timed out
6888,"10 Colligan Street, Upper Riccarton, Christchurch",Request timed out
6890,"36 Colligan Street, Upper Riccarton, Christchurch",Request timed out
6930,"6 Cornet Lane, Aranui, Christchurch",Request timed out
6936,"100 Brighton Mall, New Brighton, Christchurch",Request timed out
6965,"10 Colchester Place, Templeton, Christchurch",Request timed out
7003,"39 Manchester Street, Christchurch Central, Christchurch",Request timed out
7040,"1/15 Bowen Street, Upper Riccarton, Christchurch",Request timed out
7053,"115X Worcester Street, Christchurch Central, Christchurch",Request timed out
7060,"103 Blankney Street, Hornby, Christchurch",Request timed out
7064,"18 Westgrove Avenue, Avonhead, Christchurch",Request timed out
7071,"14 Rearsby Drive, Halswell, Christchurch",Request timed out
7073,"5 Glenside Avenue, Ilam, Christchurch",Request timed out
7076,"20 Suva Street, Upper Riccarton, Christchurch",Request timed out
7078,"325 Blenheim Road, Upper Riccarton, Christchurch",Request timed out
7081,"14 Harling Avenue, Hillmorton, Christchurch",Request timed out
7085,"20 Manor Place, Bryndwr, Christchurch",Request timed out
7100,"21 Cowlishaw Street, Avonside, Christchurch",Request timed out
7159,"32 Marquess Avenue, Halswell, Christchurch",Request timed out
7168,"28 Deepdale Street, Burnside, Christchurch",Request timed out
7186,"108 Petrie Street, Richmond, Christchurch",Request timed out
7189,"50 Cumnor Terrace, Woolston, Christchurch",Request timed out
7196,"52 Doreen Street, Aranui, Christchurch",Request timed out
7222,"1/795 Main South Road, Templeton, Christchurch",Request timed out
