id,address,boolean
1871,"197 Corrigalls Road, Hakataramea Valley",Request timed out
1877,"55 Painstown Road, Waimate",Request timed out
1880,"491 Horseshoe Bend Road, Otaio",Request timed out
1911,"12 Makikihi Hunter Road, Makikihi",Request timed out
1921,"18 Tennant Street, Waimate",Request timed out
1931,"11 Waimate Highway, Makikihi",Request timed out
1934,"1139 Hakataramea Highway, Waihao Downs",Request timed out
1935,"467 Waihaorunga Back Road, Elephant Hill",Request timed out
1936,"569 Gum Tree Flat Road, Ikawai",Request timed out
1940,"49 Wilsons Road, Makikihi",Request timed out
1944,"1987 Waimate Highway, Makikihi",Request timed out
1964,"15 Michael Street, Waimate",Request timed out
1977,"253 McNaughtons Road, Morven",Request timed out
1983,"17 Mary Street, Waimate",Request timed out
1989,"20 Parsonage Road, Waimate",Request timed out
1990,"2956 Hakataramea Highway, Ikawai",Request timed out
1991,"3902 Hakataramea Highway, Elephant Hill",Request timed out
1992,"423 Dog Kennel Road, Ikawai",Request timed out
1993,"384 Ikawai Middle Road, Glenavy",Request timed out
1994,"920 Ikawai Middle Road, Ikawai",Request timed out
1995,"26 Keens Road, Morven",Request timed out
1996,"149 Maytown Road, Waimate",Request timed out
1997,"204 Norton Reserve Road, Waimate",Request timed out
1998,"331 Horseshoe Bend Road, Otaio",Request timed out
1999,"1631 Pareora River Road, Maungati",Request timed out
2000,"161 Timaunga Road, Maungati",Request timed out
2001,"3860 Waimate Highway, Morven",Request timed out
2002,"60 Painstown Road, Waimate",Request timed out
2003,"521 Milne Road, Hakataramea, Kurow",Request timed out
2012,"31 Rhodes Street, Waimate",Request timed out
2013,"39 Maude Street, Waimate",Request timed out
2014,"3 Opie Street, Waimate",Request timed out
2015,"1 Massey Street, Waimate",Request timed out
2016,"210 Queen Street, Waimate",Request timed out
2017,"27 Point Bush Road, Waimate",Request timed out
2020,"4 Timaru Road, Waimate",Request timed out
2021,"23 Studholme Street, Waimate",Request timed out
2037,"16 Hunts Road, Waimate",Request timed out
2045,"24 Opie Street, Waimate",Request timed out
2049,"37 Donald Street, Morven",Request timed out
2054,"81 Archibald Road, Morven",Request timed out
2055,"170 Highland Farm Settlement Road, Cattle Creek",Request timed out
2056,"15 Bridge Road, Waihao Downs",Request timed out
2057,"4 Stony Creek Road, Waihao Downs",Request timed out
2058,"661 Gum Tree Flat Road, Ikawai",Request timed out
2059,"125 Point Bush Road, Waimate",Request timed out
2060,"739 Mill Road, Waimate",Request timed out
2061,"361 Waimate Hunter Road, Makikihi",Request timed out
2068,"6 Hunts Road, Waimate",Request timed out
2085,"449 Fisheries Road, Glenavy",Request timed out
2088,"10 Hodges Road, Waimate",Request timed out
2095,"3538 Back Line Road, Otaio",Request timed out
2096,"126 Stanleys Road, Otaio",Request timed out
2116,"23 Belt Street, Waimate",Request timed out
2117,"26 Rhodes Street, Waimate",Request timed out
2121,"3 Caernarvon Street, Waimate",Request timed out
2124,"12 Donald Street, Morven",Request timed out
2125,"16 Alice Street, Morven",Request timed out
2127,"473 Pentland Hills Road, Waihaorunga",Request timed out
2128,"287 Kowhatu Road, Waihaorunga",Request timed out
2129,"289 Uretane Road, Waimate",Request timed out
2130,"251 Hannaton Road, Waimate",Request timed out
2132,"103 Maytown Road, Waimate",Request timed out
2133,"40 Oxford Street, Waimate",Request timed out
2134,"140 Hook Swamp Road, Makikihi",Request timed out
2135,"195 Lyalldale Road, Saint Andrews",Request timed out
2136,"2095 Back Line Road, Hunters Hills",Request timed out
2137,"604 Waimate Highway, Saint Andrews",Request timed out
2138,"165 Frasers Road, Hakataramea Valley",Request timed out
2139,"16 Redcliff Road, Glenavy",Request timed out
2155,"19 Hodges Road, Waimate",Request timed out
2158,"21 Pakihi Road, Hunter",Request timed out
2159,"22 Teschemaker Bush Road, Otaio",Request timed out
2160,"219 Thomsons Road, Otaio",Request timed out
2161,"1190 Pareora River Road, Maungati",Request timed out
2162,"2312 Back Line Road, Hunters Hills",Request timed out
2163,"190 Waihao Back Road, Waimate",Request timed out
2172,"19 Mill Road, Waimate",Request timed out
2178,"60 Queen Street, Waimate",Request timed out
2181,"9 Rugby Street, Waimate",Request timed out
2182,"37 Wilkin Street, Waimate",Request timed out
2183,"20 Waimate Highway, Saint Andrews",Request timed out
2187,"303 Waihao Back Road, Waimate",Request timed out
2189,"48 Painstown Road, Waimate",Request timed out
2195,"130 Queen Street, Waimate",Request timed out
2196,"53B High Street, Waimate",Request timed out
2198,"14 Bond Street, Waimate",Request timed out
2201,"448 Sherwood Road, Makikihi",Request timed out
2202,"47 Opie Street, Waimate",Request timed out
2203,"33 Point Bush Road, Waimate",Request timed out
2212,"6 Waituna School Road, Waimate",Request timed out
2233,"1 Harris Street, Waimate",Request timed out
2234,"20 Harris Street, Waimate",Request timed out
2243,"23 Mill Road, Waimate",Request timed out
2244,"5 Saul Shrives Place, Waimate",Request timed out
2251,"19 Studholme Street, Waimate",Request timed out
2261,"26 Marshall Road, Otaio",Request timed out
2279,"18 Maude Street, Waimate",Request timed out
2312,"36 Augustine Street, Waimate",Request timed out
2320,"10 Hakataramea Valley Road, Hakataramea, Kurow",Request timed out
2323,"81 Armstrongs Road, Elephant Hill",Request timed out
2328,"53 Manchesters Road, Waimate",Request timed out
2329,"203 Horsnells Road, Morven",Request timed out
2337,"45 William Street, Waimate",Request timed out
2353,"12 Massey Street, Waimate",Request timed out
2360,"664 Moorland Settlement Road, Hakataramea Valley",Request timed out
2361,"473 Mt Harris Road, Ikawai",Request timed out
2362,"515 Serpentine Valley Road, Waihao Downs",Request timed out
2365,"30 Maytown Road, Waimate",Request timed out
2366,"167 Waituna School Road, Waimate",Request timed out
2367,"15 Nolans Road, Makikihi",Request timed out
2377,"17 Eric Batchelor Place, Waimate",Request timed out
2378,"48 Old Slip Road, Hakataramea, Kurow",Request timed out
2386,"15 Maude Street, Waimate",Request timed out
2389,"14 Paul Street, Waimate",Request timed out
2390,"14 Dobson Street, Waimate",Request timed out
2398,"120 Haymans Road, Waimate",Request timed out
2419,"8 Price Street, Waimate",Request timed out
2423,"9 Cashel Street, Waimate",Request timed out
2426,"70 Waimate Highway, Saint Andrews",Request timed out
2431,"180 Ward Road, Southburn",Request timed out
2439,"17 Manse Street, Waimate",Request timed out
2440,"18 Belt Street, Waimate",Request timed out
2441,"24 Manse Street, Waimate",Request timed out
2453,"29 Hakataramea Highway, Waimate",Request timed out
